CaseID,Batch,PackFile,Section,Domain,Title,Company,Stakeholder,Competency,Difficulty,DifficultyScore,Items,Exhibits,ProductionStatus,question_state,CreatedDate
CBQ21-B1,Batch1,case_pack_p2_1.js,B,Corporate Finance,Cash Conversion Cycle and the Credit Line Renewal,Meridian Foods,CFO Ravi Patel,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-23
CBQ21-C1,Batch1,case_pack_p2_1.js,C,Decision Analysis,"Relevant Costing: Segment, Special Order, and Outsourcing",Cascade Kitchenware,Controller Nina Alvarez,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-23
CBQ21-E1,Batch1,case_pack_p2_1.js,E,Investment Decisions,Capital Rationing and the Post-Audit,Harborview Industries,Controller Sam Okonkwo,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-23
CBQ21-A1,Batch1,case_pack_p2_1.js,A,Financial Statement Analysis,"Liquidity, Leverage, and the Credit Renewal",Harborline Distributors,Controller Dana Whitfield,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-24
CBQ21-D1,Batch1,case_pack_p2_1.js,D,Risk Management,Quantifying Launch Risk Before the Board,Kestrel Electronics,Risk Manager Omar Haddad,Analysis,Moderate,3,6,2,Draft,Certified,2026-08-24
CBQ21-B2,Batch1,case_pack_p2_1.js,B,Corporate Finance,Financing the Expansion,Northstar Capital,CFO Priya Nair,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-24
CBQ21-E2,Batch1,case_pack_p2_1.js,E,Investment Decisions,Replacing the Packaging Line: Unequal Lives,Meridian Foods,Operations Director Marcus Webb,Analysis,Difficult,4,6,2,Draft,Certified,2026-08-24
CBQ21-A2,Batch1,case_pack_p2_1.js,A,Financial Statement Analysis,Lender Credit Review Analysis,"Harborline Industrial Manufacturing, Inc.","Elena Vasquez, Chief Financial Officer",Analysis,Moderate,3,6,2,Draft,Certified,2026-08-25
CBQ21-C2,Batch1,case_pack_p2_1.js,C,Decision Analysis,Capacity-Constrained Line Decisions,Corvid Precision Components,"Dana Whitfield, Corporate Controller",Analysis,Difficult,4,6,2,Draft,Certified,2026-08-25
CBQ21-F1,Batch1,case_pack_p2_1.js,F,Professional Ethics,Misclassification Pressure and Escalation,"Bluepine Foods, Inc.","Marcus Reyes, Corporate Controller",Judgment,Moderate,3,6,2,Draft,Certified,2026-08-25
CBQ21-A3,Batch1,case_pack_p2_1.js,A,Financial Statement Analysis,DuPont Diagnosis for Board Review,Northwind Ceramics,CFO Elena Marsh,Calculation,Moderate,3,6,3,Draft,Certified,2026-08-26
CBQ21-B3,Batch1,case_pack_p2_1.js,B,Corporate Finance,Bond Pricing and Covenant Compliance Review,Copperline Manufacturing,CFO Dana Whitaker,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-26
CBQ21-C3,Batch1,case_pack_p2_1.js,C,Decision Analysis,Special Order Under a Capacity Constraint,Silverpine Furniture,CFO Rebecca Hale,Judgment,Moderate,3,6,2,Draft,Certified,2026-08-26
CBQ21-D2,Batch1,case_pack_p2_1.js,D,Risk Management,Flash Capital: ERM Framework Selection and Board Risk Appetite Statement,Flash Capital,Treasurer Maya Caldwell,Conceptual,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ21-F2,Batch1,case_pack_p2_1.js,F,Professional Ethics,Flash Logistics: Controller Confidentiality Breach and IMA Ethics Resolution,Flash Logistics,Controller Mariela Hoffmann,Conceptual,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ21-E3,Batch1,case_pack_p2_1.js,E,Investment Decisions,Flash Industrial: Capital Allocation Across Three Mutually Exclusive Projects,Flash Industrial,CFO Mariela Hoffmann,Calculation,Very Difficult,5,6,2,Draft,Certified,2026-08-30
CBQ21-A4,Batch1,case_pack_p2_1.js,A,Financial Statement Analysis,Flash Foods: Post-Acquisition Integration Accounting and Goodwill Impairment,Flash Foods,"Mariela Hoffmann, CFO of Flash Foods",Calculation,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ21-B4,Batch1,case_pack_p2_1.js,B,Corporate Finance,"Flash Industrial: Acquisition Financing, WACC, and Rating-Agency Considerations",Flash Industrial,"Maya Caldwell, Treasurer of Flash Industrial",Calculation,Very Difficult,5,6,2,Draft,Certified,2026-08-30
CBQ21-C4,Batch1,case_pack_p2_1.js,C,Decision Analysis,Flash Logistics: Make-vs-Buy Decision for a Warehousing Technology Platform,Flash Logistics,"Priya Ramaswamy, Senior Financial Analyst at Flash Logistics",Calculation,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ21-A5,Batch2,case_pack_p2_1.js,A,Financial Statement Analysis,Quality of Earnings and Sustainable Growth at Harborline Diagnostics,Harborline Diagnostics,Controller Priya Nair,Analysis,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ21-C5,Batch2,case_pack_p2_1.js,C,Decision Analysis,Constrained Capacity and the Rush Order at Cascadia Components,Cascadia Components,Operations Manager Jonah Park,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ21-F3,Batch2,case_pack_p2_1.js,F,Professional Ethics,The Vendor Gift and the Quarter-End Pressure at Northstar Systems,Northstar Systems,Controller Elena Ruiz,Judgment,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ21-A6,Batch1,case_pack_p2_1.js,A,Financial Statement Analysis,Inflation-Adjusted Trend at Summit Health,Summit Health System,Controller Dana Lee,Analysis,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ21-C6,Batch1,case_pack_p2_1.js,C,Decision Analysis,Four-Ore WACM at Greenstone Mining,Greenstone Mining,Operations Manager Raul Ortega,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ21-F4,Batch1,case_pack_p2_1.js,F,Professional Ethics,ESG Assurance at Pinnacle University,Pinnacle University,CFO Amir Hassan,Judgment,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ21-B5,Batch1,case_pack_p2_1.js,B,Corporate Finance,Dividend and Repurchase at Orchard Capital,Orchard Capital,Treasurer Maya Sullivan,Analysis,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ21-D3,Batch1,case_pack_p2_1.js,D,Risk Management,RAROC and Capital Allocation at Shield Insurance,Shield Insurance,CRO Anika Patel,Evaluate,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ21-E4,Batch1,case_pack_p2_1.js,E,Investment Decisions,Monte Carlo NPV at Northwind Pharma,Northwind Pharma,CFO Priya Desai,Analysis,Very Difficult,5,6,2,Draft,Unprocessed,2026-09-03
CBQ22-B1,Batch1,case_pack_p2_2.js,B,Corporate Finance,Peak-Season Financing Plan,Brixton Wholesale,Treasurer Lena Fischer,Calculation,Moderate,3,6,2,Draft,Certified,2026-08-24
CBQ22-F1,Batch1,case_pack_p2_2.js,F,Professional Ethics,The Overstated Quarter,Vantage Home Products,Controller Marcus Hale,Judgment,Difficult,4,6,2,Draft,Certified,2026-08-24
CBQ22-A2,Batch1,case_pack_p2_2.js,A,Financial Statement Analysis,Reading the Quality of Earnings,Riverbend Outfitters,Equity Analyst Jordan Reyes,Analysis,Difficult,4,6,2,Draft,Certified,2026-08-24
CBQ22-D2,Batch1,case_pack_p2_2.js,D,Risk Management,Vendor Breach: Quantifying the Response,Crestline Steel,Risk Lead Sofia Andrade,Analysis,Moderate,3,6,2,Draft,Certified,2026-08-24
CBQ22-C1,Batch1,case_pack_p2_2.js,C,Decision Analysis,Bottleneck Product Mix Under Uncertainty,Kestrel Peak Outfitters,"Dana Whitfield, Chief Financial Officer",Analysis,Moderate,3,6,3,Draft,Certified,2026-08-25
CBQ22-E1,Batch1,case_pack_p2_2.js,E,Investment Decisions,Capital Rationing and Replacement Analysis,Bluewater Cold Chain Logistics,"Priya Raman, Vice President of Finance",Judgment,Difficult,4,6,3,Draft,Certified,2026-08-25
CBQ22-B2,Batch1,case_pack_p2_2.js,B,Corporate Finance,WACC Update and Working-Capital Review,Silverpine Medical Devices,"Luis Herrera, Treasurer",Calculation,Moderate,3,6,3,Draft,Certified,2026-08-25
CBQ22-C2,Batch1,case_pack_p2_2.js,C,Decision Analysis,Pressure Module Make-or-Buy Decision,Kestrel Instruments,"Dana Whitfield, Plant Controller",Calculation,Moderate,3,6,3,Draft,Certified,2026-08-26
CBQ22-D3,Batch1,case_pack_p2_2.js,D,Risk Management,Enterprise Risk Register Refresh,Harborview Logistics,"Priya Raman, Chief Risk Officer",Judgment,Moderate,3,6,2,Draft,Certified,2026-08-26
CBQ22-F2,Batch1,case_pack_p2_2.js,F,Professional Ethics,Covenant Pressure and Invoice Deferral,Atlas Greenhouses,"Daniel Reyes, Corporate Controller",Judgment,Moderate,3,6,2,Draft,Certified,2026-08-26
CBQ22-A3,Batch1,case_pack_p2_2.js,A,Financial Statement Analysis,Flash Tech: Foreign Subsidiary Translation in a Hyperinflationary Economy,Flash Tech,"Adaeze Onuorah, Controller",Calculation,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ22-F3,Batch1,case_pack_p2_2.js,F,Professional Ethics,Flash Media: Pending SEC Inquiry and Materiality Under SAB 99,Flash Media,"Naomi Castellanos, Project Manager",Conceptual,Difficult,4,6,2,Draft,Certified,2026-08-30
CBQ22-B3,Batch1,case_pack_p2_2.js,B,Corporate Finance,Flash Capital: Dividend Policy Change and Residual-Dividend-Model Defense,Flash Capital,"Lena Fischer, Financial Analyst",Calculation,Very Difficult,5,6,2,Draft,Certified,2026-08-30
CBQ22-B4,Batch2,case_pack_p2_2.js,B,Corporate Finance,Capital Structure and the Growth-Funding Choice at Meridian Technologies,Meridian Technologies,Treasurer Alicia Gomez,Calculation,Moderate,3,6,3,Draft,Unprocessed,2026-09-03
CBQ22-D4,Batch2,case_pack_p2_2.js,D,Risk Management,Enterprise Risk Heat Map and the Launch Decision at Valmont Energy,Valmont Energy,CRO Daniel Whitaker,Analysis,Moderate,3,6,3,Draft,Unprocessed,2026-09-03
CBQ22-E2,Batch2,case_pack_p2_2.js,E,Investment Decisions,Automation Investment: Unequal Lives and Real Options at Harborview Packaging,Harborview Packaging,Controller Sam Okonkwo,Calculation,Difficult,4,6,3,Draft,Unprocessed,2026-09-03
CBQ22-B5,Batch1,case_pack_p2_2.js,B,Corporate Finance,Yen Fuel Hedge at SkyWest Airlines,SkyWest Airlines,Treasurer Luis Ortega,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ22-D5,Batch1,case_pack_p2_2.js,D,Risk Management,KRI Breach at Sterling Bank,Sterling Bank,CRO Henry Cho,Analysis,Moderate,3,6,2,Draft,Unprocessed,2026-09-03
CBQ22-E3,Batch1,case_pack_p2_2.js,E,Investment Decisions,Fleet EAA Chain at Apex Auto Components,Apex Auto Components,Controller Priya Desai,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ22-A4,Batch1,case_pack_p2_2.js,A,Financial Statement Analysis,Leverage Cascade at Sentinel Defense,Sentinel Defense,Controller James Wu,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ22-C3,Batch1,case_pack_p2_2.js,C,Decision Analysis,Joint Costs at ChemCore Industries â€” NRV and Further Processing,ChemCore Industries,Ops Mgr Henrik Dahl,Calculation,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ22-F4,Batch1,case_pack_p2_2.js,F,Professional Ethics,FCPA and Books-and-Records at Veridian Global,Veridian Global,Compliance Officer Elena Ruiz,Judgment,Difficult,4,6,2,Draft,Unprocessed,2026-09-03
CBQ23-C1,Batch1,case_pack_p2_3.js,C,Decision Analysis,Make-or-Buy Under a Binding Constraint,Atlas Fabrication,Plant Manager Luis Ortega,Analysis,Difficult,4,6,2,Draft,Certified,2026-08-24
