QuestionID,Section,Topic,Difficulty,Grade,AvgScore,Blueprint,Technical,Quality,Distractor,Explanation,Realism,DifficultyScore,Repetition,Priority,Issues
P1-A-001,A,"A.001 balance sheet current classification",Moderate,B,4.3,5,5,5,4,2,3,5,5,Medium,"Answer length variance high (ratio 3x) — may give clues; ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism)"
P1-A-002,A,"A.002 income statement discontinued operation presentation",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-003,A,"A.003 cash flow from operations indirect method",Moderate,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-A-004,A,"A.004 statement of changes in equity treasury stock",Easy,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism)"
P1-A-005,A,"A.005 revenue performance obligations",Moderate,B,4.4,5,5,4,5,2,4,5,5,Medium,"Uses absolute language: ""all""; ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No time/year reference in stem"
P1-A-006,A,"A.006 contract liability for advance collections",Moderate,A,5,5,5,5,5,5,5,5,5,Low,""
P1-A-007,A,"A.007 allowance method doubtful accounts",Easy,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-008,A,"A.008 inventory lower of cost and NRV",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-009,A,"A.009 LIFO liquidation effect",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism)"
P1-A-010,A,"A.010 straight-line depreciation expense",Moderate,A,5,5,5,5,5,5,5,5,5,Low,""
P1-A-011,A,"A.011 asset impairment trigger",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-012,A,"A.012 contingent liability accrual",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-013,A,"A.013 subsequent event recognized condition",Easy,A,4.5,5,5,5,4,2,5,5,5,Low,"Answer length variance high (ratio 3x) — may give clues; ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text"
P1-A-014,A,"A.014 operating lease lessee recognition",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-015,A,"A.015 equity method investment influence",Easy,A,4.5,5,5,5,5,2,4,5,5,Low,"Generic distractor explanation (no specific rationale); No time/year reference in stem"
P1-A-016,A,"A.016 consolidation control principle",Moderate,A,4.5,5,5,5,5,2,4,5,5,Low,"Generic distractor explanation (no specific rationale); No time/year reference in stem"
P1-A-017,A,"A.017 intercompany inventory profit elimination",Moderate,A,4.6,5,5,5,5,2,5,5,5,Low,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text"
P1-A-018,A,"A.018 noncontrolling interest presentation",Moderate,A,4.9,5,5,5,5,5,4,5,5,Low,"No time/year reference in stem"
P1-A-019,A,"A.019 OCI unrealized debt security",Easy,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-020,A,"A.020 integrated reporting value creation",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-021,A,"A.021 disclosure notes accounting policies",Easy,B,4.4,5,5,5,5,2,3,5,5,Medium,"ExplanationWrongA is generic: ""This is the correct choice""; Generic distractor explanation (no specific rationale); All 3 wrong-answer explanations are identical text; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-022,A,"A.022 GAAP IFRS development costs",Moderate,A,4.6,5,5,4,5,5,3,5,5,Low,"Uses absolute language: ""all""; No business context in stem (may lack realism); No time/year reference in stem"
P1-A-023,A,"A.023 fair value hierarchy observable inputs",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism); No time/year reference in stem"
P1-A-024,A,"A.024 cash equivalents maturity",Moderate,B,4.4,5,5,5,5,2,3,5,5,Medium,"Generic distractor explanation (no specific rationale); No business context in stem (may lack realism)"
P1-A-025,A,"A.025 deferred tax liability calculation",Moderate,A,4.5,5,5,5,5,3,3,5,5,Low,"ExplanationWrongA is generic: ""This is the correct choice""; No business context in stem (may lack realism)"
P1-A-026,A,"A.026 accounting equation equity calculation 1",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-027,A,"A.027 revenue recognized on shipped units 2",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-028,A,"A.028 cost of goods sold from inventory flow 3",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
P1-A-029,A,"A.029 straight-line depreciation expense 4",Moderate,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism)"
P1-A-030,A,"A.030 indirect operating cash flow adjustment 5",Difficult,A,4.8,5,5,5,5,5,3,5,5,Low,"No business context in stem (may lack realism); No time/year reference in stem"
