P1-A-002 | Pack A | Sec A | A.002 income statement discontinued operation pres | Riverview will sell a component that represents a strategic shift and has met held-for-sale criteria. Which response is most appropriate?
P1-A-009 | Pack A | Sec A | A.009 LIFO liquidation effect | Zephyr reduced inventory quantities below older LIFO layers during a period of rising costs. Which response is most appropriate?
P1-B-015 | Pack A | Sec B | B.015 pro forma financial statements | Granite wants projected income statement and balance sheet effects of the annual plan. Which response is most appropriate?
P1-B-062 | Pack A | Sec B | B.062 learning curve vs experience curve distincti | Grayson's cost analyst distinguishes between a learning curve and an experience curve when discussing declining unit costs. What is the key difference
P1-B-086 | Pack A | Sec B | B.086 forecast bias detection | Overland's sales forecasts have been consistently lower than actual results for six straight quarters. What does this pattern most likely indicate?
P1-B-088 | Pack A | Sec B | B.088 budgeted balance sheet purpose | Which of the following best describes the purpose of the budgeted balance sheet in the master budget process?
P1-C-072 | Pack A | Sec C | C.072 customer perspective metric example | Which of the following metrics would be classified under the customer perspective of a balanced scorecard?
P1-D-070 | Pack A | Sec D | D.070 JIT quality requirement | Because JIT systems maintain minimal buffer inventory, what does a successful JIT implementation require regarding product quality?
P1-E-009 | Pack A | Sec E | E.009 corrective controls after failed batch | Delta is reviewing internal controls related to corrective controls after failed batch. Which response is most appropriate?
P1-E-010 | Pack A | Sec E | E.010 physical safeguards over inventory | Evergreen is reviewing internal controls related to physical safeguards over inventory. Which response is most appropriate?
P1-E-011 | Pack A | Sec E | E.011 access controls for payroll master file | Frontier is reviewing internal controls related to access controls for payroll master file. Which response is most appropriate?
P1-E-012 | Pack A | Sec E | E.012 change management approval evidence | Granite is reviewing internal controls related to change management approval evidence. Which response is most appropriate?
P1-E-027 | Pack A | Sec E | E.027 external audit reliance on controls | Vantage is reviewing internal controls related to external audit reliance on controls. Which response is most appropriate?
P1-E-028 | Pack A | Sec E | E.028 documentation of control performance | Willow is reviewing internal controls related to documentation of control performance. Which response is most appropriate?
P1-E-056 | Pack A | Sec E | E.056 independent physical count control | A warehouse manager who has custody of inventory is also assigned to perform the annual physical inventory count without independent oversight. What c
P1-E-077 | Pack A | Sec E | E.077 it general controls access | Morgan transferred from accounts payable to treasury last month, but her system profile still grants her full access to create and approve vendor paym
P1-E-082 | Pack A | Sec E | E.082 it change management emergency bypass | During the month-end close, a senior developer at Harbor Analytics deployed a code change directly to the production general ledger system to correct 
P1-E-084 | Pack A | Sec E | E.084 audit committee oversight independence | SignalPoint Technologies' audit committee consists of three members: the CEO's brother (a marketing executive), a retired operations manager who left 
P1-F-001 | Pack A | Sec F | F.001 ERP transaction integration | Vantage is evaluating ERP transaction integration in a finance transformation project. Which response is most appropriate?
P1-F-003 | Pack A | Sec F | F.003 AIS audit trail | Yukon is reviewing whether its accounting information system supports auditability from purchase order through journal entry and financial report. Whi
P1-F-005 | Pack A | Sec F | F.005 data dictionary definitions | Apex is building a finance data catalog for analytics users. The controller wants users to know how fields are defined, formatted, validated, and rela
P1-F-008 | Pack A | Sec F | F.008 data quality accuracy | Dakota is validating customer master data before using it in revenue analytics. A sample shows customer addresses and credit limits that differ from a
P1-F-009 | Pack A | Sec F | F.009 data quality timeliness | Evergreen receives daily point-of-sale feeds for a margin dashboard, but the feed often arrives two days after managers make pricing decisions. Which 
P1-F-010 | Pack A | Sec F | F.010 data cleansing duplicate customers | Frontier finds that the same customer appears under several spellings in the billing system, causing receivables aging and customer profitability repo
P1-F-014 | Pack A | Sec F | F.014 ETL process controls | Juniper is loading sales and inventory data from operating systems into a finance data warehouse. Which control best supports completeness and accurac
P1-F-022 | Pack A | Sec F | F.022 clustering customer segments | Riverview wants analytics to identify natural customer groups using purchasing behavior, profitability, and service usage without assigning labels in 
P1-F-023 | Pack A | Sec F | F.023 regression analytics driver | Summit is analyzing whether machine hours and setup counts explain monthly maintenance cost. Which analytics method estimates the relationship between
P1-F-024 | Pack A | Sec F | F.024 outlier detection | Titan uses analytics to flag vendor payments that are unusually large, unusually frequent, or outside normal timing patterns. What should finance do w
P1-F-026 | Pack A | Sec F | F.026 correlation not causation | Vantage finds that advertising spend and revenue increased during the same months. Management wants to conclude that the advertising caused the revenu
P1-F-029 | Pack A | Sec F | F.029 machine learning training data | Zephyr is evaluating machine learning training data in a finance transformation project. Which response is most appropriate?
P1-F-031 | Pack A | Sec F | F.031 cloud computing scalability risk | Beacon is evaluating cloud computing scalability risk in a finance transformation project. Which response is most appropriate?
P1-F-032 | Pack A | Sec F | F.032 cybersecurity phishing control | Crescent is evaluating cybersecurity phishing control in a finance transformation project. Which response is most appropriate?
P1-F-035 | Pack A | Sec F | F.035 encryption at rest and transit | Frontier is evaluating encryption at rest and transit in a finance transformation project. Which response is most appropriate?
P1-F-039 | Pack A | Sec F | F.039 SDLC testing before deployment | Juniper is evaluating SDLC testing before deployment in a finance transformation project. Which response is most appropriate?
P1-F-041 | Pack A | Sec F | F.041 system interface reconciliation | Lumen is evaluating system interface reconciliation in a finance transformation project. Which response is most appropriate?
P1-F-044 | Pack A | Sec F | F.044 version control analytics model | Orion is evaluating version control analytics model in a finance transformation project. Which response is most appropriate?
P1-F-047 | Pack A | Sec F | F.047 continuous auditing exception | Riverview is evaluating continuous auditing exception in a finance transformation project. Which response is most appropriate?
P1-F-049 | Pack A | Sec F | F.049 digital transformation finance role | Titan is evaluating digital transformation finance role in a finance transformation project. Which response is most appropriate?
P1-F-050 | Pack A | Sec F | F.050 technology ROI benefits tracking | Umbra is evaluating technology ROI benefits tracking in a finance transformation project. Which response is most appropriate?
P1-F-057 | Pack A | Sec F | F.057 model validation holdout data | Crescent is evaluating model validation holdout data in a finance transformation project. Which response is most appropriate?
P1-F-059 | Pack A | Sec F | F.059 cybersecurity logging SIEM | Evergreen is evaluating cybersecurity logging SIEM in a finance transformation project. Which response is most appropriate?
P1-F-060 | Pack A | Sec F | F.060 third-party vendor cyber risk | Frontier is evaluating third-party vendor cyber risk in a finance transformation project. Which response is most appropriate?
P1-F-072 | Pack A | Sec F | F.072 natural language processing use | Riverview is evaluating natural language processing use in a finance transformation project. Which response is most appropriate?
P1-F-073 | Pack A | Sec F | F.073 optical character recognition invoice | Summit is evaluating optical character recognition invoice in a finance transformation project. Which response is most appropriate?
P1B-A-091 | Pack B | Sec A | B-A.091 single-step vs multi-step | What distinguishes a multi-step income statement from a single-step income statement?
P1B-A-140 | Pack B | Sec A | B-A.140 lease - operating vs finance expense patte | Which statement correctly compares the expense pattern of an operating lease to a finance lease for the lessee?
P1B-A-145 | Pack B | Sec A | B-A.145 income statement - restructuring charges | Brookfield Corp announces a restructuring plan involving employee severance and facility closure costs. Under GAAP, when are restructuring costs recog
P1B-B-130 | Pack B | Sec B | B-B.130 activity-based budgeting | Activity-based budgeting (ABB) differs from traditional budgeting because ABB:
P1B-B-138 | Pack B | Sec B | B-B.138 strategic planning vs budgeting | Which statement best describes the relationship between strategic planning and budgeting?
P1B-B-169 | Pack B | Sec B | B-B.169 ABC vs ABB relationship | Activity-based budgeting (ABB) differs from activity-based costing (ABC) because ABB:
P1B-C-126 | Pack B | Sec C | B-C.126 responsibility centers | The maintenance department of Harbor Manufacturing is evaluated solely on its ability to control costs while providing a specified level of service. T
P1B-C-127 | Pack B | Sec C | B-C.127 responsibility centers | The sales department of Pinnacle Products is evaluated based on total sales revenue generated. The sales manager has authority over pricing and sales 
P1B-C-128 | Pack B | Sec C | B-C.128 responsibility centers | Summit Industries has a consumer products division where the manager is responsible for both revenues and costs, including manufacturing, marketing, a
P1B-C-129 | Pack B | Sec C | B-C.129 responsibility centers | The corporate ventures division of Horizon Manufacturing has authority over product development, pricing, production, marketing, and capital investmen
P1B-C-130 | Pack B | Sec C | B-C.130 responsibility centers | The manager of the assembly department at Redwood Manufacturing is responsible for direct materials, direct labor, and departmental overhead. The corp
P1B-C-153 | Pack B | Sec C | B-C.153 transfer pricing | When a manager of a profit center is evaluated based on divisional profit, which transfer pricing conflict is most likely to arise?
P1B-C-156 | Pack B | Sec C | B-C.156 balanced scorecard | The balanced scorecard framework includes four perspectives. Which of the following is NOT one of the four balanced scorecard perspectives?
P1B-C-157 | Pack B | Sec C | B-C.157 balanced scorecard | Aspen Corporation uses a balanced scorecard. Which of the following performance measures would most likely be included in the financial perspective?
P1B-C-158 | Pack B | Sec C | B-C.158 balanced scorecard | Birchwood Inc. implements a balanced scorecard. Which measure would be appropriate for the customer perspective?
P1B-C-159 | Pack B | Sec C | B-C.159 balanced scorecard | Cedar Creek Manufacturing uses a balanced scorecard. Which metric would best measure performance from the internal business processes perspective?
P1B-C-160 | Pack B | Sec C | B-C.160 balanced scorecard | Dover Industries implements a balanced scorecard. Which of the following is a leading indicator for the learning and growth perspective?
P1B-C-161 | Pack B | Sec C | B-C.161 balanced scorecard | In the balanced scorecard framework, which statement best describes the relationship between leading and lagging indicators?
P1B-C-162 | Pack B | Sec C | B-C.162 balanced scorecard | Elmwood Corporation uses strategy mapping to link its balanced scorecard perspectives. Which of the following depicts the correct causal chain in a st
P1B-C-164 | Pack B | Sec C | B-C.164 benchmarking | Forest Glen Manufacturing wants to improve its order fulfillment process by studying the practices of a leading logistics company in a different indus
P1B-C-167 | Pack B | Sec C | B-C.167 benchmarking | What is the primary difference between benchmarking and best practices?
P1B-C-192 | Pack B | Sec C | B-C.192 standard costing vs actual costing | Which of the following best describes the difference between normal costing and standard costing?
P1B-D-150 | Pack B | Sec D | B-D.150 mfg vs non-mfg costs | Rho Corporation incurred the following cost: depreciation on factory equipment. This cost is best classified as:
P1B-E-078 | Pack B | Sec E | B-E.078 internal control framework | Apex Systems is assessing risks that could affect its ability to achieve its financial reporting objectives. Management is identifying events that cou
P1B-E-083 | Pack B | Sec E | B-E.083 internal control framework | Vanguard Technologies recognizes that even a well-designed internal control system cannot provide absolute assurance. Which of the following is an inh
P1B-E-084 | Pack B | Sec E | B-E.084 internal control framework | Harbor Solutions is implementing an enterprise risk management (ERM) system. The company wants to align risk appetite with strategy, enhance risk resp
P1B-E-090 | Pack B | Sec E | B-E.090 control activities | Horizon Communications maintains locked storage rooms for sensitive documents, uses security badges to control access to its data center, and requires
P1B-E-092 | Pack B | Sec E | B-E.092 internal audit function | Cascade Industries has an internal audit department that reports functionally to the audit committee and administratively to the chief executive offic
