QuestionID,CaseID,File,Domain,Topic,QuestionType,BloomLevel,Prompt
CBQ2-A3-Q5,CBQ2-A3,scored_cases2.js,External Financial Reporting Decisions,Receivables,fill,Understand,The method of estimating bad debt using an aging schedule is known as the ______ approach.
CBQ2-A3-Q1,CBQ2-A3,scored_cases2.js,External Financial Reporting Decisions,ASC 606,numeric,Apply,Calculate the transaction price allocated to the Hardware performance obligation (round to nearest whole dollar).
CBQ2-A3-Q2,CBQ2-A3,scored_cases2.js,External Financial Reporting Decisions,Receivables,numeric,Apply,Calculate the required ending balance in the Allowance for Doubtful Accounts.
CBQ2-A3-Q4,CBQ2-A3,scored_cases2.js,External Financial Reporting Decisions,Receivables,select,Analyze,"If the unadjusted ADA balance was a $5,000 debit, what is the bad debt expense?"
CBQ2-A3-Q3,CBQ2-A3,scored_cases2.js,External Financial Reporting Decisions,Revenue,multi,Evaluate,"Under ASC 606, which criteria indicate a distinct performance obligation?"
CBQ2-A2-Q2,CBQ2-A2,scored_cases2.js,External Financial Reporting Decisions,Inventory,numeric,Apply,What is the per-unit valuation for the inventory at year-end?
CBQ2-A2-Q3,CBQ2-A2,scored_cases2.js,External Financial Reporting Decisions,Inventory,numeric,Apply,What is the total inventory write-down required?
CBQ2-A2-Q1,CBQ2-A2,scored_cases2.js,External Financial Reporting Decisions,Inventory,select,Analyze,"Under US GAAP for a FIFO firm, inventory is valued at:"
CBQ2-A2-Q4,CBQ2-A2,scored_cases2.js,External Financial Reporting Decisions,Inventory,match,Analyze,Match the inventory valuation method to its primary characteristic.
CBQ2-A2-Q5,CBQ2-A2,scored_cases2.js,External Financial Reporting Decisions,Inventory,multi,Evaluate,Which costs are capitalized into inventory?
CBQ2-B1-Q1,CBQ2-B1,scored_cases2.js,"Planning, Budgeting, and Forecasting",Production Budget,numeric,Apply,How many units must Apex produce in January?
CBQ2-B1-Q2,CBQ2-B1,scored_cases2.js,"Planning, Budgeting, and Forecasting",Production Budget,numeric,Apply,How many units must Apex produce in February?
CBQ2-B1-Q3,CBQ2-B1,scored_cases2.js,"Planning, Budgeting, and Forecasting",Materials Budget,numeric,Apply,How many pounds of raw material must be purchased in January?
CBQ2-B1-Q4,CBQ2-B1,scored_cases2.js,"Planning, Budgeting, and Forecasting",Materials Budget,numeric,Apply,What is the budgeted cost of raw material purchases for January?
CBQ2-B1-Q5,CBQ2-B1,scored_cases2.js,"Planning, Budgeting, and Forecasting",Budget sequence,select,Analyze,Which budget must be prepared first?
CBQ2-B2-Q1,CBQ2-B2,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash collections,numeric,Apply,Enter total cash collections for January.
CBQ2-B2-Q2,CBQ2-B2,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash disbursements,numeric,Apply,Enter total cash disbursements for January.
CBQ2-B2-Q3,CBQ2-B2,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash budget,numeric,Apply,Enter the ending cash balance before financing for January. Use a negative sign if the balance is negative.
CBQ2-B2-Q4,CBQ2-B2,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash budget financing,select,Apply,What amount must Harbor borrow in January to meet the minimum cash balance?
CBQ2-B2-Q5,CBQ2-B2,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash budget analysis,multi,Evaluate,CFO Chen is reviewing the preliminary January forecast. Select the statements that correctly describe how a change would
CBQ2-B2-Q6,CBQ2-B2,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash budget management,match,Analyze,Match each forecast risk to the correct management response.
CBQ2-B3-Q1,CBQ2-B3,scored_cases2.js,"Planning, Budgeting, and Forecasting",Sales forecasting,numeric,Apply,"Using the trend growth method, enter Standard Components' budgeted Q3 unit sales."
CBQ2-B3-Q2,CBQ2-B3,scored_cases2.js,"Planning, Budgeting, and Forecasting",Sales forecasting,numeric,Apply,"Using the trend growth method, enter Advanced Modules' budgeted Q3 unit sales."
CBQ2-B3-Q3,CBQ2-B3,scored_cases2.js,"Planning, Budgeting, and Forecasting",Revenue budgeting,numeric,Apply,Enter the total budgeted Q3 sales revenue (both segments combined).
CBQ2-B3-Q4,CBQ2-B3,scored_cases2.js,"Planning, Budgeting, and Forecasting",Forecasting methods,select,Evaluate,Under what condition would David Kim most likely recommend using seasonal adjustment over the trend growth rate?
CBQ2-B3-Q5,CBQ2-B3,scored_cases2.js,"Planning, Budgeting, and Forecasting",Cash collection analysis,multi,Evaluate,Which factors would cause Q3 cash collections to differ from the original forecast?
CBQ2-B3-Q6,CBQ2-B3,scored_cases2.js,"Planning, Budgeting, and Forecasting",Forecasting methods,match,Analyze,Match each forecasting methodology to its correct description.
CBQ2-C1-Q1,CBQ2-C1,scored_cases2.js,Performance Management,Flexible budget variance decomposition,match,Analyze,Match each variance category to the correct variance amount shown in Exhibit 1.
CBQ2-C1-Q2,CBQ2-C1,scored_cases2.js,Performance Management,Variance interpretation and investigation,match,Evaluate,Match each Q1 performance indicator to the most likely underlying cause.
CBQ2-C1-Q3,CBQ2-C1,scored_cases2.js,Performance Management,Flexible budget formulas,match,Analyze,Match each flexible budget component to its correct formula.
CBQ2-C1-Q4,CBQ2-C1,scored_cases2.js,Performance Management,Variance-driven management decisions,match,Evaluate,Match each management action to the variance signal that would most likely trigger it.
CBQ2-C1-Q5,CBQ2-C1,scored_cases2.js,Performance Management,Variance responsibility accounting,match,Evaluate,Match each variance type to the organizational unit most likely responsible for it.
CBQ2-C2-Q1,CBQ2-C2,scored_cases2.js,Performance Management,Direct materials price variance,numeric,Apply,"Compute the direct materials price variance (enter as a positive number; indicate U or F after the number, e.g., 1234 F)"
CBQ2-C2-Q2,CBQ2-C2,scored_cases2.js,Performance Management,Direct materials quantity variance,numeric,Apply,Compute the direct materials quantity (usage) variance (enter as a positive number; indicate U or F).
CBQ2-C2-Q3,CBQ2-C2,scored_cases2.js,Performance Management,Direct labor rate variance,numeric,Apply,Compute the direct labor rate variance (enter as a positive number; indicate U or F).
CBQ2-C2-Q4,CBQ2-C2,scored_cases2.js,Performance Management,Direct labor efficiency variance,numeric,Apply,Compute the direct labor efficiency variance (enter as a positive number; indicate U or F).
CBQ2-C2-Q5,CBQ2-C2,scored_cases2.js,Performance Management,Variable overhead efficiency variance,numeric,Apply,Compute the variable overhead efficiency variance (enter as a positive number; indicate U or F).
CBQ2-C3-Q1,CBQ2-C3,scored_cases2.js,Performance Management,Return on investment computation,select,Apply,"Using the information in Exhibit 1, what is Division A's return on investment for the current year?"
CBQ2-C3-Q2,CBQ2-C3,scored_cases2.js,Performance Management,Residual income computation,select,Apply,What is Division A's residual income for the current year?
CBQ2-C3-Q3,CBQ2-C3,scored_cases2.js,Performance Management,ROI impact of new investments,select,Analyze,"If the proposed $500,000 investment is accepted, what will Division A's new ROI be?"
CBQ2-C3-Q4,CBQ2-C3,scored_cases2.js,Performance Management,Residual income and goal congruence,select,Evaluate,"If Division A is evaluated using residual income, should the manager accept the proposed $500,000 investment?"
