original_path,archive_path,category,origin_session,notes
app.js.bak-20260724232411,archive/root_baks/app.js.bak-20260724232411,root_backup,pre-S93,"app.js session backup, timestamp 2026-07-24"
app.js.bak-s93-20260725094538,archive/root_baks/app.js.bak-s93-20260725094538,root_backup,S93,"app.js pre-S93 edits backup"
app.js.bak-s94-20260725095348,archive/root_baks/app.js.bak-s94-20260725095348,root_backup,S94,"app.js pre-S94 edits backup"
app.js.bak-s96-20260725095811,archive/root_baks/app.js.bak-s96-20260725095811,root_backup,S96,"app.js pre-S96 edits backup"
,archive/root_baks/file_0_binary,binary_artifact,unknown,2-byte binary artifact found at root; no references
index_updated.html.bak-20260724232411,archive/root_baks/index_updated.html.bak-20260724232411,root_backup,pre-S93,"index_updated.html session backup"
index_updated.html.bak-s101-20260725113016,archive/root_baks/index_updated.html.bak-s101-20260725113016,root_backup,S101,"index_updated.html pre-S101 edits backup"
index_updated.html.bak-s102-20260725114432,archive/root_baks/index_updated.html.bak-s102-20260725114432,root_backup,S102,"index_updated.html pre-S102 edits backup"
index_updated.html.bak-s103-20260725121307,archive/root_baks/index_updated.html.bak-s103-20260725121307,root_backup,S103,"index_updated.html pre-S103 edits backup"
index_updated.html.bak-s104-20260725131755,archive/root_baks/index_updated.html.bak-s104-20260725131755,root_backup,S104,"index_updated.html pre-S104 edits backup"
index_updated.html.bak-s93-20260725094538,archive/root_baks/index_updated.html.bak-s93-20260725094538,root_backup,S93,"index_updated.html pre-S93 edits backup"
index_updated.html.bak-s94-20260725095348,archive/root_baks/index_updated.html.bak-s94-20260725095348,root_backup,S94,"index_updated.html pre-S94 edits backup"
index_updated.html.bak-s96-20260725095811,archive/root_baks/index_updated.html.bak-s96-20260725095811,root_backup,S96,"index_updated.html pre-S96 edits backup"
index_updated.html.bak-s99-20260725111914,archive/root_baks/index_updated.html.bak-s99-20260725111914,root_backup,S99,"index_updated.html pre-S99 edits backup"
may-core.js.bak-20260724232411,archive/root_baks/may-core.js.bak-20260724232411,root_backup,pre-S93,"may-core.js session backup"
may-core.js.bak-s100-20260725112525,archive/root_baks/may-core.js.bak-s100-20260725112525,root_backup,S100,"may-core.js pre-S100 edits backup"
may-core.js.bak-s101-20260725113016,archive/root_baks/may-core.js.bak-s101-20260725113016,root_backup,S101,"may-core.js pre-S101 edits backup"
may-core.js.bak-s102-20260725114432,archive/root_baks/may-core.js.bak-s102-20260725114432,root_backup,S102,"may-core.js pre-S102 edits backup"
may-core.js.bak-s103-20260725121307,archive/root_baks/may-core.js.bak-s103-20260725121307,root_backup,S103,"may-core.js pre-S103 edits backup"
may-core.js.bak-s104-20260725131755,archive/root_baks/may-core.js.bak-s104-20260725131755,root_backup,S104,"may-core.js pre-S104 edits backup"
may-core.js.bak-s93-20260725094538,archive/root_baks/may-core.js.bak-s93-20260725094538,root_backup,S93,"may-core.js pre-S93 edits backup"
may-core.js.bak-s94-20260725095348,archive/root_baks/may-core.js.bak-s94-20260725095348,root_backup,S94,"may-core.js pre-S94 edits backup"
may-core.js.bak-s96-20260725095811,archive/root_baks/may-core.js.bak-s96-20260725095811,root_backup,S96,"may-core.js pre-S96 edits backup"
may-core.js.bak-s98-20260725110255,archive/root_baks/may-core.js.bak-s98-20260725110255,root_backup,S98,"may-core.js pre-S98 edits backup"
may-core.js.bak-s99-20260725111914,archive/root_baks/may-core.js.bak-s99-20260725111914,root_backup,S99,"may-core.js pre-S99 edits backup"
may-learner-state.js.bak-s100-20260725112525,archive/root_baks/may-learner-state.js.bak-s100-20260725112525,root_backup,S100,"may-learner-state.js pre-S100 edits backup"
may-learner-state.js.bak-s101-20260725113016,archive/root_baks/may-learner-state.js.bak-s101-20260725113016,root_backup,S101,"may-learner-state.js pre-S101 edits backup"
may-learner-state.js.bak-s102-20260725114432,archive/root_baks/may-learner-state.js.bak-s102-20260725114432,root_backup,S102,"may-learner-state.js pre-S102 edits backup"
may-learner-state.js.bak-s103-20260725121307,archive/root_baks/may-learner-state.js.bak-s103-20260725121307,root_backup,S103,"may-learner-state.js pre-S103 edits backup"
may-learner-state.js.bak-s104-20260725131755,archive/root_baks/may-learner-state.js.bak-s104-20260725131755,root_backup,S104,"may-learner-state.js pre-S104 edits backup"
may-learner-state.js.bak-s93-20260725094538,archive/root_baks/may-learner-state.js.bak-s93-20260725094538,root_backup,S93,"may-learner-state.js pre-S93 edits backup"
may-learner-state.js.bak-s94-20260725095348,archive/root_baks/may-learner-state.js.bak-s94-20260725095348,root_backup,S94,"may-learner-state.js pre-S94 edits backup"
may-learner-state.js.bak-s96-20260725095811,archive/root_baks/may-learner-state.js.bak-s96-20260725095811,root_backup,S96,"may-learner-state.js pre-S96 edits backup"
may-learner-state.js.bak-s98-20260725110255,archive/root_baks/may-learner-state.js.bak-s98-20260725110255,root_backup,S98,"may-learner-state.js pre-S98 edits backup"
