CaseID,ItemID,Batch,Type,PromptSnippet,Correct,Difficulty,DifficultyScore,CognitiveLevel,CalculationRequired,Topic
CBQ21-B1,CBQ21-B1-Q1,Batch1,numeric,Enter Q2 days sales outstanding (DSO); rounded to one decima,103.7,Moderate,3,Apply,True,Days sales outstanding
CBQ21-B1,CBQ21-B1-Q2,Batch1,numeric,Enter the Q2 cash conversion cycle in days; rounded to one d,131.0,Difficult,4,Apply,True,Cash conversion cycle
CBQ21-B1,CBQ21-B1-Q3,Batch1,select,Which component contributed most to the CCC deterioration fr,A,Difficult,4,Analyze,True,CCC component analysis
CBQ21-B1,CBQ21-B1-Q4,Batch1,select,Per the board request in Exhibit 2; how much cash would a 90,A,Moderate,3,Apply,True,Cash release from DSO reduction
CBQ21-B1,CBQ21-B1-Q5,Batch1,multi,Which two actions would most directly shorten the cash conve,Tighten credit terms and collection follow-up to reduce DSO|,Difficult,4,Evaluate,False,CCC management
CBQ21-B1,CBQ21-B1-Q6,Batch1,match,Match each working-capital component to its Q1-to-Q2 change.,{'DSO': '+12.4 days'; 'DIO': '+11.9 days'; 'DPO': '-3.3 days,Moderate-Easy,2,Understand,True,CCC changes
CBQ21-C1,CBQ21-C1-Q1,Batch1,numeric,Enter the Bakeware line segment margin in dollars.,70000,Moderate,3,Apply,True,Segment margin
CBQ21-C1,CBQ21-C1-Q2,Batch1,numeric,Enter the incremental profit from accepting the 3;000-unit s,21000,Moderate,3,Apply,True,Special order pricing
CBQ21-C1,CBQ21-C1-Q3,Batch1,select,If Bakeware is dropped; the freed capacity can earn an $85;0,A,Difficult,4,Analyze,True,Keep-or-drop with capacity redeployment
CBQ21-C1,CBQ21-C1-Q4,Batch1,select,Based on Exhibit 2; what are the expected annual savings fro,A,Difficult,4,Analyze,True,Outsourcing with risk adjustment
CBQ21-C1,CBQ21-C1-Q5,Batch1,multi,Which three cost items are relevant to the outsourcing decis,In-house variable cost of $25 per handle|Expected supplier-f,Moderate,3,Analyze,False,Relevant cost identification
CBQ21-C1,CBQ21-C1-Q6,Batch1,match,Match each decision to its governing principle.,{'Special order pricing': 'Price must cover incremental cost,Moderate-Easy,2,Understand,False,Decision rules
CBQ21-E1,CBQ21-E1-Q1,Batch1,numeric,Enter the profitability index of Proposal B; rounded to two ,1.33,Moderate-Easy,2,Apply,True,Profitability index
CBQ21-E1,CBQ21-E1-Q2,Batch1,numeric,Enter the operating income variance in dollars from Exhibit ,-80000,Moderate,3,Apply,True,Post-audit variance
CBQ21-E1,CBQ21-E1-Q3,Batch1,select,Which combination maximizes total NPV within the $5.0 millio,C,Difficult,4,Analyze,True,Capital rationing
CBQ21-E1,CBQ21-E1-Q4,Batch1,select,Which component contributed most to the unfavorable post-aud,A,Moderate,3,Analyze,True,Post-audit decomposition
CBQ21-E1,CBQ21-E1-Q5,Batch1,multi,Which three of the following are legitimate purposes of a ca,Refining future cash-flow forecasts|Identifying systematic e,Moderate-Easy,2,Understand,False,Post-audit purposes
CBQ21-E1,CBQ21-E1-Q6,Batch1,match,Match each capital budgeting tool to its purpose.,{'NPV': 'Primary criterion â€” measures dollar value added';,Moderate-Easy,2,Understand,False,Capital budgeting tools
CBQ21-A1,CBQ21-A1-Q1,Batch1,numeric,Enter the current ratio; rounded to two decimals (answers wi,1.63,Moderate-Easy,2,Apply,True,Current ratio
CBQ21-A1,CBQ21-A1-Q2,Batch1,numeric,Enter the quick ratio; rounded to two decimals (answers with,0.93,Moderate,3,Apply,True,Quick ratio
CBQ21-A1,CBQ21-A1-Q3,Batch1,numeric,Enter days sales outstanding (DSO) using average receivables,45.5,Moderate,3,Apply,True,Days sales outstanding
CBQ21-A1,CBQ21-A1-Q4,Batch1,select,Based on Exhibits 1 and your computations; which covenant po,B,Moderate,3,Analyze,False,Covenant compliance
CBQ21-A1,CBQ21-A1-Q5,Batch1,select,Which diagnosis best explains the quick-ratio shortfall and ,D,Moderate,3,Analyze,False,Working capital composition
CBQ21-A1,CBQ21-A1-Q6,Batch1,select,Which presentation to First Meridian Bank best positions the,C,Difficult,4,Evaluate,False,Credit negotiation strategy
CBQ21-D1,CBQ21-D1-Q1,Batch1,numeric,Enter the INHERENT expected loss for R1 (sole-source chip di,1000000,Moderate-Easy,2,Apply,True,Expected loss
CBQ21-D1,CBQ21-D1-Q2,Batch1,numeric,Enter the RESIDUAL expected loss for R1 after implementing t,400000,Moderate-Easy,2,Apply,True,Residual expected loss
CBQ21-D1,CBQ21-D1-Q3,Batch1,numeric,Enter the net year-one economic benefit of the dual-source c,450000,Moderate,3,Analyze,True,Mitigation cost-benefit
CBQ21-D1,CBQ21-D1-Q4,Batch1,select,Classify each proposed response under the COSO ERM risk-resp,B,Moderate,3,Apply,False,Risk response classification
CBQ21-D1,CBQ21-D1-Q5,Batch1,select,Against the board's appetite cap of $500K expected loss per ,C,Moderate,3,Analyze,False,Risk appetite testing
CBQ21-D1,CBQ21-D1-Q6,Batch1,select,Which board recommendation best integrates the quantified an,B,Difficult,4,Evaluate,False,Board risk recommendation
CBQ21-B2,CBQ21-B2-Q1,Batch1,numeric,Enter the AFTER-TAX cost of debt in percent; rounded to two ,4.50,Moderate-Easy,2,Apply,True,After-tax cost of debt
CBQ21-B2,CBQ21-B2-Q2,Batch1,numeric,Enter the cost of preferred stock in percent; rounded to two,10.00,Moderate-Easy,2,Apply,True,Cost of preferred stock
CBQ21-B2,CBQ21-B2-Q3,Batch1,numeric,Enter the CAPM cost of common equity in percent; rounded to ,10.60,Moderate,3,Apply,True,Cost of equity
CBQ21-B2,CBQ21-B2-Q4,Batch1,numeric,Enter Northstar's current WACC in percent; rounded to two de,8.71,Moderate,3,Apply,True,Weighted average cost of capital
CBQ21-B2,CBQ21-B2-Q5,Batch1,select,The committee proposes funding the entire $40M with new 6% d,B,Difficult,4,Analyze,False,Marginal cost of capital
